Uniprot	GeneName	ProteinName	No. Peptides	k.mean	k.sd	k.mean.cv	k.median	k.mad	k.median.cv	normality
Q8K1M6	Dnm1l	Dynamin-1-like protein (EC 3.6.5.5) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-related protein 1)	11	0.0825454545454545	0.0185168228179871	0.224322743389711	0.081	0.0266868	0.329466666666667	0.65346916221995
Q62159	Rhoc	Rho-related GTP-binding protein RhoC (Silica-induced gene 61 protein) (SIG-61)	1	0.207	NA	NA	0.207	NA	NA	0
Q8R1X6	Spg20	Spartin	1	0.35	NA	NA	0.35	NA	NA	0
Q9R069	Bcam	Basal cell adhesion molecule (B-CAM cell surface glycoprotein) (Lutheran antigen) (CD antigen CD239)	1	0.218	NA	NA	0.218	NA	NA	0
P14148	Rpl7	60S ribosomal protein L7	2	0.064	0.00565685424949239	0.0883883476483185	0.064	0.0059304	0.0926625000000001	0
Q9R062	Gyg1	Glycogenin-1 (GN-1) (GN1) (EC 2.4.1.186)	3	0.0896666666666667	0.0100166528008778	0.111709882537671	0.089	0.0133434	0.149925842696629	0.889856493994792
P14142	Slc2a4	Solute carrier family 2, facilitated glucose transporter member 4 (GT2) (Glucose transporter type 4, insulin-responsive) (GLUT-4)	2	0.255	0.0989949493661167	0.388215487710261	0.255	0.103782	0.406988235294118	0
Q9CZW5	Tomm70a	Mitochondrial import receptor subunit TOM70 (Mitochondrial precursor proteins import receptor) (Translocase of outer membrane 70 kDa subunit)	5	0.0882	0.0142021125189177	0.161021683887956	0.088	0.0133434	0.151629545454545	0.431936435841148
Q9R059	Fhl3	Four and a half LIM domains protein 3 (FHL-3) (Skeletal muscle LIM-protein 2) (SLIM-2)	1	0.071	NA	NA	0.071	NA	NA	0
P14131	Rps16	40S ribosomal protein S16	4	0.11075	0.0430610032395902	0.3888126703349	0.0955	0.0155673	0.163008376963351	0.122202127654488
Q64314	Cd34	Hematopoietic progenitor cell antigen CD34 (CD antigen CD34)	2	0.169	0.0367695526217005	0.217571317288169	0.169	0.0385476	0.228092307692308	0
Q9WTM5	Ruvbl2	RuvB-like 2 (EC 3.6.4.12) (p47 protein)	3	0.165333333333333	0.0160104132780304	0.0968371770848615	0.166	0.022239	0.133969879518072	0.931113776232527
Q91VD9	Ndufs1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-75kD) (CI-75kD)	19	0.0405263157894737	0.00889049693057225	0.219375898286848	0.043	0.00889560000000001	0.206874418604651	0.54098722849384
Q3URE1	Acsf3	Acyl-CoA synthetase family member 3, mitochondrial (EC 6.2.1.-)	4	0.07375	0.0259534840307295	0.351911647874299	0.0655	0.0155673	0.237668702290076	0.254325796494359
Q9CZU6	Cs	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	16	0.0213125	0.00575868908693637	0.270202420501413	0.0205	0.007413	0.361609756097561	0.554658925624
P35486	Pdha1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)	17	0.0390588235294118	0.0155300941249373	0.397607831511949	0.034	0.0103782	0.305241176470588	0.00278696458331077
Q8K1J6	Trnt1	CCA tRNA nucleotidyltransferase 1, mitochondrial (EC 2.7.7.72) (mitochondrial tRNA nucleotidyl transferase, CCA-adding) (mt CCA-adding enzyme) (mt tRNA CCA-diphosphorylase) (mt tRNA CCA-pyrophosphorylase) (mt tRNA adenylyltransferase)	1	0.133	NA	NA	0.133	NA	NA	0
P49615	Cdk5	Cyclin-dependent-like kinase 5 (EC 2.7.11.1) (CR6 protein kinase) (CRK6) (Cell division protein kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit)	2	0.0965	0.0120208152801713	0.124568033991413	0.0965	0.0126021	0.13059170984456	0
Q3URD3	Slmap	Sarcolemmal membrane-associated protein (Sarcolemmal-associated protein)	7	0.107	0.0216256021110781	0.202108430944655	0.107	0.0237216	0.221697196261682	0.812687348111454
Q91VC3	Eif4a3	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic translation initiation factor 4A isoform 3) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]	1	0.268	NA	NA	0.268	NA	NA	0
P14115	Rpl27a	60S ribosomal protein L27a (L29)	1	0.073	NA	NA	0.073	NA	NA	0
Q8BUK6	Hook3	Protein Hook homolog 3 (mHK3)	1	0.258	NA	NA	0.258	NA	NA	0
Q9CZS1	Aldh1b1	Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase family 1 member B1)	4	0.067	0.032782108941718	0.489285208085343	0.058	0.0237216	0.408993103448276	0.315769067397597
Q8R1S0	Coq6	Ubiquinone biosynthesis monooxygenase COQ6 (EC 1.14.13.-) (Coenzyme Q10 monooxygenase 6)	5	0.035	0.00744983221287567	0.212852348939305	0.033	0.0014826	0.0449272727272728	0.0273508077251911
Q91VA6	Poldip2	Polymerase delta-interacting protein 2	1	0.218	NA	NA	0.218	NA	NA	0
Q9CZR8	Tsfm	Elongation factor Ts, mitochondrial (EF-Ts) (EF-TsMt)	3	0.05	0.00608276253029822	0.121655250605964	0.053	0.0014826	0.0279735849056604	0.157166798464936
Q9WTI7	Myo1c	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	9	0.0645555555555556	0.01220769338482	0.189103684102203	0.065	0.014826	0.228092307692308	0.505010784868953
Q9CZR2	Naalad2	N-acetylated-alpha-linked acidic dipeptidase 2 (EC 3.4.17.21) (Glutamate carboxypeptidase III) (GCPIII) (N-acetylaspartylglutamate peptidase II) (NAAG-peptidase II) (N-acetylated-alpha-linked acidic dipeptidase II) (NAALADase II)	2	0.1585	0.0700035713374682	0.441662910646487	0.1585	0.0733887	0.463020189274448	0
Q8C6I2	Sdhaf2	Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)	2	0.185	0.00707106781186548	0.0382219881722458	0.185	0.00741300000000001	0.0400702702702703	0
Q9EP72	Emc7	ER membrane protein complex subunit 7	1	0.123	NA	NA	0.123	NA	NA	0
Q9R008	Mvk	Mevalonate kinase (MK) (EC 2.7.1.36)	2	0.1095	0.00636396103067893	0.0581183655769766	0.1095	0.00667170000000001	0.0609287671232877	0
P23492	Pnp	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	3	0.075	0.0153948043183406	0.205264057577875	0.079	0.0133434	0.168903797468354	0.566536268572567
Q8R1Q8	Dync1li1	Cytoplasmic dynein 1 light intermediate chain 1 (Dynein light chain A) (DLC-A) (Dynein light intermediate chain 1, cytosolic)	4	0.22975	0.0708160763292253	0.308231017755061	0.224	0.0696822	0.31108125	0.961565397312243
P35441			1	0.201	NA	NA	0.201	NA	NA	0
Q9EP69	Sacm1l	Phosphatidylinositide phosphatase SAC1 (EC 3.1.3.-) (Suppressor of actin mutations 1-like protein)	3	0.0956666666666667	0.0127410099024109	0.133181288178511	0.102	0.0029652	0.0290705882352941	0.150052910133962
O08795	Prkcsh	Glucosidase 2 subunit beta (80K-H protein) (Glucosidase II subunit beta) (Protein kinase C substrate 60.1 kDa protein heavy chain) (PKCSH)	1	0.159	NA	NA	0.159	NA	NA	0
Q8BHN3	Ganab	Neutral alpha-glucosidase AB (EC 3.2.1.84) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)	2	0.1175	0.0417193000900063	0.355057873106437	0.1175	0.0437367	0.372227234042553	0
O08788	Dctn1	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p150-glued)	5	0.1248	0.0211589224678385	0.169542647979475	0.136	0.0103782	0.0763102941176468	0.11999574311317
P43024	Cox6a1	Cytochrome c oxidase subunit 6A1, mitochondrial (Cytochrome c oxidase polypeptide VIa-liver)	2	0.0285	0.00494974746830583	0.173675349765117	0.0285	0.0051891	0.182073684210526	0
P43023	Cox6a2	Cytochrome c oxidase subunit 6A2, mitochondrial (Cytochrome c oxidase polypeptide VIa-heart) (COXVIAH)	3	0.0683333333333333	0.0222785397486759	0.326027410956233	0.057	0.0044478	0.0780315789473685	0.128686974094304
A6H584	Col6a5	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)	2	0.0265	0.000707106781186548	0.0266832747617565	0.0265	0.000741300000000001	0.0279735849056604	0
Q61699	Hsph1	Heat shock protein 105 kDa (42 degrees C-HSP) (Heat shock 110 kDa protein) (Heat shock-related 100 kDa protein E7I) (HSP-E7I)	5	0.3758	0.14071496011441	0.374441085988318	0.321	0.0563388	0.175510280373832	0.0331841435886185
Q8BHL8	Psmf1	Proteasome inhibitor PI31 subunit	1	0.133	NA	NA	0.133	NA	NA	0
Q9CZN8	Qrsl1	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Glu-AdT subunit A) (EC 6.3.5.7) (Glutaminyl-tRNA synthase-like protein 1)	2	0.113	0.00989949493661166	0.0876061498815192	0.113	0.0103782	0.0918424778761062	0
P62196	Psmc5	26S protease regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (p45/SUG) (mSUG1)	6	0.142	0.0124739729036101	0.0878448796028883	0.1385	0.0111195	0.0802851985559567	0.676881220881593
P62192	Psmc1	26S protease regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1)	4	0.1445	0.0441399290136871	0.305466636772921	0.1475	0.0400302	0.271391186440678	0.904360725175587
Q9CZM2	Rpl15	60S ribosomal protein L15	2	0.101	0.00848528137423857	0.0840126868736492	0.101	0.0088956	0.0880752475247524	0
P11499	Hsp90ab1	Heat shock protein HSP 90-beta (Heat shock 84 kDa) (HSP 84) (HSP84) (Tumor-specific transplantation 84 kDa antigen) (TSTA)	25	0.17948	0.0345460079700487	0.192478314965727	0.175	0.022239	0.12708	0.256015819851153
Q91UZ5	Impa2	Inositol monophosphatase 2 (IMP 2) (IMPase 2) (EC 3.1.3.25) (Inositol-1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2)	1	0.072	NA	NA	0.072	NA	NA	0
O08759			2	0.249	0.0367695526217005	0.147668886030926	0.249	0.0385476	0.154809638554217	0
O08756			3	0.0276666666666667	0.00378593889720018	0.136841164959043	0.026	0.0014826	0.0570230769230768	0.252969648965825
Q63844	Mapk3	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (MNK1) (Microtubule-associated protein 2 kinase) (p44-ERK1)	3	0.109333333333333	0.0399291038383449	0.365205218033643	0.092	0.0163086	0.177267391304348	0.263911006793158
O08749	Dld	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase)	13	0.0262307692307692	0.00901067742693676	0.343515561730727	0.029	0.007413	0.255620689655172	0.542476382037581
Q99PV0	Prpf8	Pre-mRNA-processing-splicing factor 8 (Splicing factor Prp8)	1	0.23	NA	NA	0.23	NA	NA	0
Q61656			2	1.0655	1.49694505577192	1.40492262390607	1.0655	1.5693321	1.4728597841389	0
Q61655	Ddx19a	ATP-dependent RNA helicase DDX19A (EC 3.6.4.13) (DEAD box RNA helicase DEAD5) (mDEAD5) (DEAD box protein 19A) (Eukaryotic translation initiation factor 4A-related sequence 1)	3	0.128	0.0272213151776324	0.212666524825253	0.132	0.0311346	0.235868181818182	0.756296310187178
Q91V92	Acly	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme)	1	0.269	NA	NA	0.269	NA	NA	0
O08739	Ampd3	AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase H-type) (AMP deaminase isoform E) (Heart-type AMPD)	1	0.051	NA	NA	0.051	NA	NA	0
Q99PU8	Dhx30	Putative ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30)	1	0.124	NA	NA	0.124	NA	NA	0
Q9CZJ2	Hspa12b	Heat shock 70 kDa protein 12B	1	0.072	NA	NA	0.072	NA	NA	0
Q61646	Hp	Haptoglobin (Zonulin) [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain]	1	3.316	NA	NA	3.316	NA	NA	0
Q8CBY8	Dctn4	Dynactin subunit 4 (Dynactin subunit p62)	1	0.135	NA	NA	0.135	NA	NA	0
O55060	Tpmt	Thiopurine S-methyltransferase (EC 2.1.1.67) (Thiopurine methyltransferase)	1	0.058	NA	NA	0.058	NA	NA	0
Q8BHG2			1	0.19	NA	NA	0.19	NA	NA	0
P13634	Ca1	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase I) (CA-I)	8	0.02225	0.00597016391256196	0.26832197359829	0.023	0.0081543	0.354534782608696	0.439091481930175
Q8BHG1	Nrd1	Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C)	3	0.235666666666667	0.0515008090551336	0.218532428805376	0.236	0.0756126	0.320392372881356	0.989294696673727
Q8R1I1	Uqcr10	Cytochrome b-c1 complex subunit 9 (Complex III subunit 9) (Complex III subunit X) (Cytochrome c1 non-heme 7 kDa protein) (Ubiquinol-cytochrome c reductase complex 7.2 kDa protein)	2	0.036	0.00282842712474619	0.0785674201318385	0.036	0.0029652	0.0823666666666666	0
Q3V384	Lace1	Lactation elevated protein 1	3	0.0516666666666667	0.0136503968196288	0.26420122876701	0.054	0.014826	0.274555555555556	0.716232523899626
Q99PT1	Arhgdia	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (GDI-1) (Rho-GDI alpha)	4	0.07475	0.00727438428093173	0.0973161776713275	0.073	0.00444779999999999	0.0609287671232876	0.479927091790758
Q91V76			1	0.092	NA	NA	0.092	NA	NA	0
Q63810	Ppp3r1	Calcineurin subunit B type 1 (Protein phosphatase 2B regulatory subunit 1) (Protein phosphatase 3 regulatory subunit B alpha isoform 1)	3	0.307666666666667	0.199379871936295	0.648038587008542	0.231	0.1082298	0.468527272727273	0.351616387965264
P62141	Ppp1cb	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (EC 3.1.3.16) (EC 3.1.3.53)	2	0.2595	0.0304055915910216	0.117169909791991	0.2595	0.0318759	0.122835838150289	0
P31001	Des	Desmin	5	0.1182	0.0235944908824073	0.199614982084664	0.115	0.0103782	0.0902452173913042	0.67923767999745
P62137	Ppp1ca	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	2	0.198	0	0	0.198	0	0	0
Q91V64	Isoc1	Isochorismatase domain-containing protein 1	4	0.0915	0.00866025403784438	0.0946475851130534	0.0905	0.0088956	0.0982939226519337	0.663819609781338
Q8CC88	Vwa8	von Willebrand factor A domain-containing protein 8	21	0.0534761904761905	0.0128242701453886	0.239812709753482	0.054	0.0133434	0.2471	0.777687051469037
O55042	Snca	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	1	0.034	NA	NA	0.034	NA	NA	0
P46938	Yap1	Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog)	1	0.788	NA	NA	0.788	NA	NA	0
Q8CC86	Naprt	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21) (Nicotinate phosphoribosyltransferase domain-containing protein 1)	4	0.0675	0.00695221787153807	0.102995820319083	0.0675	0.0066717	0.0988399999999999	0.831570956660492
P46935	Nedd4	E3 ubiquitin-protein ligase NEDD4 (EC 6.3.2.-) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4)	1	1.765	NA	NA	1.765	NA	NA	0
O08709	Prdx6	Peroxiredoxin-6 (EC 1.11.1.15) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.-) (Antioxidant protein 2) (Non-selenium glutathione peroxidase) (NSGPx) (EC 1.11.1.9)	13	0.0733076923076923	0.0145852929086381	0.198959924252146	0.072	0.00741299999999999	0.102958333333333	0.0145566327211312
Q8BHE8			1	0.033	NA	NA	0.033	NA	NA	0
Q99PR8	Hspb2	Heat shock protein beta-2 (HspB2)	3	0.136333333333333	0.0466940395910799	0.342499067905231	0.114	0.0133434	0.117047368421053	0.184343149090494
P50171	Hsd17b8	Estradiol 17-beta-dehydrogenase 8 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 8) (17-beta-HSD 8) (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.-) (Protein Ke6) (Ke-6) (Testosterone 17-beta-dehydrogenase 8) (EC 1.1.1.239)	2	0.028	0.00424264068711928	0.151522881682832	0.028	0.0044478	0.15885	0
Q8R1G2	Cmbl	Carboxymethylenebutenolidase homolog (EC 3.1.-.-)	4	0.05675	0.0111766124861993	0.196944713413204	0.055	0.0103782	0.188694545454545	0.701487227981498
Q8K0Z7	Taco1	Translational activator of cytochrome c oxidase 1 (Coiled-coil domain-containing protein 44) (Translational activator of mitochondrially-encoded cytochrome c oxidase 1)	5	0.0934	0.012381437719425	0.132563573013116	0.098	0.00889559999999999	0.0907714285714284	0.242948517904913
P42567	Eps15	Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p)	3	0.217	0.083018070322069	0.382571752636263	0.215	0.118608	0.55166511627907	0.96015068293953
O88342	Wdr1	WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1)	12	0.0793333333333333	0.0161939008346483	0.204124800436744	0.083	0.0140847	0.169695180722892	0.0493129711024301
O55029	Copb2	Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102)	2	0.285	0.015556349186104	0.0545836813547509	0.285	0.0163086	0.0572231578947367	0
O55028	Bckdk	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)	2	0.0975	0.0120208152801713	0.123290413129962	0.0975	0.0126021	0.129252307692308	0
O55026	Entpd2	Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.-) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) (Ecto-ATPDase 2) (Ecto-ATPase 2)	1	0.593	NA	NA	0.593	NA	NA	0
Q91V41	Rab14	Ras-related protein Rab-14	5	0.1568	0.0803255874550569	0.512280532238883	0.121	0.0311346	0.257310743801653	0.0665328068096917
O55023			3	0.0543333333333333	0.0055075705472861	0.101366329091155	0.054	0.007413	0.137277777777778	0.899850280037225
O55013	Trappc3	Trafficking protein particle complex subunit 3 (BET3 homolog)	1	0.143	NA	NA	0.143	NA	NA	0
Q811I0			2	0.1335	0.0176776695296637	0.1324170002222	0.1335	0.0185325	0.138820224719101	0
Q9CZD3	Gars	Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (AP-4-A synthetase) (Glycyl-tRNA synthetase) (GlyRS)	7	0.101714285714286	0.0187591247638253	0.184429597397158	0.101	0.0103782	0.102754455445544	0.627522462241216
O35459	Ech1	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)	9	0.156222222222222	0.059474317519787	0.380703312715564	0.142	0.0355824	0.250580281690141	0.661235330196625
Q8BTZ7	Gmppb	Mannose-1-phosphate guanyltransferase beta (EC 2.7.7.13) (GDP-mannose pyrophosphorylase B) (GTP-mannose-1-phosphate guanylyltransferase beta)	2	0.0745	0.0261629509039023	0.351180549045668	0.0745	0.0274281	0.368162416107383	0
P11404	Fabp3	Fatty acid-binding protein, heart (Fatty acid-binding protein 3) (Heart-type fatty acid-binding protein) (H-FABP) (Mammary-derived growth inhibitor) (MDGI)	11	0.0393636363636364	0.0150351104237563	0.381954306377181	0.042	0.014826	0.353	0.060928978076091
P09103	P4hb	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Endoplasmic reticulum resident protein 59) (ER protein 59) (ERp59) (Prolyl 4-hydroxylase subunit beta) (p55)	11	0.269363636363636	0.107227116651781	0.398075694623552	0.26	0.081543	0.313626923076923	0.850438252326973
P38060	Hmgcl	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)	3	0.077	0.013856406460551	0.179953330656507	0.069	0	0	0
Q9CZC8	Scrn1	Secernin-1	1	0.115	NA	NA	0.115	NA	NA	0
P50136			5	0.1932	0.0362587920372425	0.187674907025065	0.2	0.0266868	0.133434	0.852090313292764
Q78ZA7	Nap1l4	Nucleosome assembly protein 1-like 4	4	0.2355	0.048155996511338	0.20448406161927	0.2355	0.0489258	0.207752866242038	0.946796737768312
Q8K183	Pdxk	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	2	0.074	0.00282842712474619	0.0382219881722458	0.074	0.0029652	0.0400702702702703	0
Q8K182	C8a	Complement component C8 alpha chain (Complement component 8 subunit alpha)	2	0.4325	0.45466966030295	1.05125933018023	0.4325	0.4766559	1.10209456647399	0
Q02053	Uba1	Ubiquitin-like modifier-activating enzyme 1 (Ubiquitin-activating enzyme E1) (Ubiquitin-activating enzyme E1 X) (Ubiquitin-like modifier-activating enzyme 1 X)	14	0.104428571428571	0.0295236913621646	0.282716606751234	0.1145	0.0185325	0.161855895196506	0.144978943314499
Q8BTY1	Ccbl1	Kynurenine--oxoglutarate transaminase 1 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase) (EC 4.4.1.13) (Glutamine transaminase K) (GTK) (Glutamine--phenylpyruvate transaminase) (EC 2.6.1.64) (Kynurenine aminotransferase I) (KATI) (Kynurenine--oxoglutarate transaminase I)	6	0.0735	0.0150299700598504	0.204489388569393	0.077	0.0155673	0.202172727272727	0.410608093056443
Q91V12	Acot7	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	2	0.0765	0.0346482322781408	0.452918068995305	0.0765	0.0363237	0.474819607843137	0
Q8CC36	Cdnf	Cerebral dopamine neurotrophic factor (ARMET-like protein 1) (Conserved dopamine neurotrophic factor)	1	0.074	NA	NA	0.074	NA	NA	0
P28271	Aco1	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)	12	0.06775	0.0128213245663763	0.189244643046144	0.0685	0.0163086	0.238081751824817	0.766947244673706
Q8R1B4	Eif3c	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)	8	0.17825	0.0863444100266899	0.484400617260532	0.2095	0.0652344	0.31138138424821	0.262010375125418
Q9CZB0	Sdhc	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Integral membrane protein CII-3) (QPs-1) (QPs1)	3	0.033	0.0268514431641951	0.8136800958847	0.028	0.0281694	1.00605	0.690660815498766
Q8BTX9	Hsdl1	Inactive hydroxysteroid dehydrogenase-like protein 1	1	0.015	NA	NA	0.015	NA	NA	0
Q8CC21	Ttc19	Tetratricopeptide repeat protein 19, mitochondrial (TPR repeat protein 19)	2	0.0775	0.00919238815542513	0.118611460070002	0.0775	0.00963690000000001	0.124347096774194	0
Q7TNS2	Minos1	MICOS complex subunit Mic10 (Mitochondrial inner membrane organizing system protein 1)	1	0.028	NA	NA	0.028	NA	NA	0
